store_name,street,city,state,zip,final_zip_pred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,0.1629858741543572,42901.0,93010,Ventura,107.6,234.37
Trader Joe's Fremont (77),39324 Argonaut Way,Fremont,CA,94538,0.0926660837610253,61148.0,94538,Alameda,78.11,199.8
Trader Joe's Jacksonville Beach (760),4180 S 3rd St,Jacksonville Beach,FL,32250,0.2657451215690001,25356.0,32250,Duval,106.83,260.61
Trader Joe's Mall of Orange (46),2114 N Tustin St,Orange,CA,92865,0.113203907835408,19704.0,92865,Orange,81.13,224.31
Trader Joe's Long Island City (565),2243 Jackson Ave,Long Island City,NY,11101,0.0738749386644311,25484.0,11101,Queens,160.41,468.98
Trader Joe's Fairfield (523),2258 Black Rock Turnpike,Fairfield,CT,06825,0.0498057812744926,21123.0,06825,Fairfield,122.34,286.22
Trader Joe's West Newton (509),1121 Washington St,West Newton,MA,02465,0.0322483908827181,11710.0,02465,Middlesex,131.68,353.13
Trader Joe's Glen Ellyn (680),680 Roosevelt Rd,Glen Ellyn,IL,60137,0.0743742875266302,37805.0,60137,DuPage,131.77,284.74
Trader Joe's Washington - 25th St (653),1101 25th Street NW,Washington,DC,20037,0.0427242356487402,14642.0,20037,District of Columbia,70.48,192.76
Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,0.0579064564045284,51128.0,11201,Kings,132.58,340.41
Trader Joe's Brooklyn - City Point (547),445 Gold St,Brooklyn,NY,11201,0.0579064564045284,51128.0,11201,Kings,132.58,340.41
Trader Joe's Claremont (214),475 W Foothill Blvd,Claremont,CA,91711,0.0531171800023053,35705.0,91711,Los Angeles,88.62,227.07
Trader Joe's Fort Worth (404),2701 S Hulen St,Fort Worth,TX,76109,0.1506802562988636,21710.0,76109,Tarrant,104.48,301.6
Trader Joe's Concord (83),785 Oak Grove Rd,Concord,CA,94518,0.0598591690128658,26778.0,94518,Contra Costa,77.34,225.08
Trader Joe's Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,0.0536467807884242,40598.0,91016,Los Angeles,93.65,230.32
Trader Joe's Metairie (755),2949 Veterans Blvd,Metairie,LA,70002,0.1305497838916152,18879.0,70002,Jefferson,113.44,235.35
Trader Joe's Ventura - Midtown (218),103 S Mills Rd,Ventura,CA,93003,0.1247746212370379,50474.0,93003,Ventura,83.34,214.84
Trader Joe's Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,0.1247746212370379,50474.0,93003,Ventura,83.34,214.84
Trader Joe's Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,0.096543602482717,46564.0,92886,Orange,99.65,245.73
Trader Joe's San Mateo - Grant St (67),1820-22 S Grant Street,San Mateo,CA,94402,0.0304551636121397,23981.0,94402,San Mateo,98.52,243.02
Trader Joe's San Francisco - North Beach (19),401 Bay St,San Francisco,CA,94133,0.0442456688585026,26237.0,94133,San Francisco,132.7,324.88
Trader Joe's Novato (198),7514 Redwood Blvd,Novato,CA,94945,0.0518848999569023,17167.0,94945,Marin,105.89,265.2
Trader Joe's Millbrae (170),765 Broadway,Millbrae,CA,94030,0.0340808513366282,21536.0,94030,San Mateo,160.13,520.91
Trader Joe's Cambridge (502),748 Memorial Dr,Cambridge,MA,02139,0.0270943581757472,36349.0,02139,Middlesex,87.75,230.36
Trader Joe's Gilbert (SanTan) (285),1779 E. Williams Field Rd.,Gilbert,AZ,85295,0.1878461771735667,38332.0,85295,Maricopa,126.0,314.79
Trader Joe's Henderson (97),2716 N Green Valley Pkwy,Henderson,NV,89014,0.2000967105607284,36922.0,89014,Clark,127.65,305.46
Trader Joe's Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,0.0790730760768282,17141.0,95819,Sacramento,64.78,188.92
Trader Joe's Brentwood (692),48 Brentwood Promenade Court,Brentwood,MO,63144,0.0388147323548482,8825.0,63144,St. Louis County,134.28,224.97
Trader Joe's San Antonio - Sonterra Village (455),403 N Loop 1604 W,San Antonio,TX,78232,0.1047469421279571,35120.0,78232,Bexar,119.28,233.72
Trader Joe's Lynnwood (129),19715 Highway 99,Lynnwood,WA,98036,0.0852961390966064,36000.0,98036,Snohomish,113.57,284.04
Trader Joe's Maple Grove (713),12105 Elm Creek Blvd N,Maple Grove,MN,55369,0.0911298482832963,32524.0,55369,Hennepin,152.29,425.78
