store_name,street,city,state,zip,final_zip_pred
Trader Joe's Naples (762),10600 Tamiami Trail N,Naples,FL,34108,0.1981264074863024
Trader Joe's Wellington (774),2877 South State Rd 7,Wellington,FL,33414,0.1658699205714188
Trader Joe's Chicago - River North (696),44 E Ontario St,Chicago,IL,60611,0.11688406474281501
Trader Joe's Long Beach - PCH (43),6451 E Pacific Coast  Hwy,Long Beach,CA,90803,0.0541163709718225
Trader Joe's Silver Spring (652),10741 Columbia Pike,Silver Spring,MD,20901,0.0351271993144857
Trader Joe's Orem (352),440 East Park Avenue,Orem,UT,84097,0.1751740785490862
Trader Joe's Whittier (48),15025 E Whittier Blvd,Whittier,CA,90603,0.0895059855191618
Trader Joe's Portland - Hollywood (144),4121 NE Halsey St,Portland,OR,97232,0.0517364834365314
Trader Joe's Chesterfield (693),1679 Clarkson Rd,Chesterfield,MO,63017,0.0744299473990907
Trader Joe's Houston - S Voss Rd (427),1440 South Voss Road,Houston,TX,77057,0.138220285693283
